2023-05-26 20:49:18,121 | INFO | Performing operations for SVC with RBF Kernel:
2023-05-26 20:49:18,122 | INFO | -------------------------------------------

2023-05-26 20:49:18,122 | INFO | Baseline hyperparameter tuning and K-Fold Cross-Validation beginning:
2023-05-26 20:49:18,122 | INFO | -------------------------------------------------------------------

2023-05-26 20:49:18,122 | INFO | GridSearchCV Starting:
2023-05-26 20:49:18,123 | INFO | ----------------------

2023-05-26 20:52:25,845 | INFO | Best parameter set: {'C': 6, 'break_ties': False, 'class_weight': 'balanced', 'gamma': 0.1}
2023-05-26 20:52:25,845 | INFO | ----------------------------------------

2023-05-26 20:52:26,493 | INFO | PCA Starting PCA
2023-05-26 20:52:26,493 | INFO | --------------------------

2023-05-26 20:52:26,611 | INFO | Selecting 71 principal component making up 75% of the variance:

2023-05-26 20:52:26,612 | INFO | -----------------------------------------------------------------------

2023-05-26 20:52:26,615 | INFO | PCA with 75% variance hyperparameter tuning and K-Fold Cross-Validation beginning:
2023-05-26 20:52:26,615 | INFO | -------------------------------------------------------------------

2023-05-26 20:52:26,615 | INFO | GridSearchCV Starting:
2023-05-26 20:52:26,616 | INFO | ----------------------

2023-05-26 20:53:36,117 | INFO | Best parameter set: {'C': 6, 'break_ties': False, 'class_weight': None, 'gamma': 0.1}
2023-05-26 20:53:36,118 | INFO | ----------------------------------------

2023-05-26 20:53:36,331 | INFO | Selecting 95 principal component making up 80% of the variance:

2023-05-26 20:53:36,331 | INFO | -----------------------------------------------------------------------

2023-05-26 20:53:36,333 | INFO | PCA with 80% variance hyperparameter tuning and K-Fold Cross-Validation beginning:
2023-05-26 20:53:36,333 | INFO | -------------------------------------------------------------------

2023-05-26 20:53:36,333 | INFO | GridSearchCV Starting:
2023-05-26 20:53:36,334 | INFO | ----------------------

2023-05-26 20:54:42,308 | INFO | Best parameter set: {'C': 16, 'break_ties': False, 'class_weight': None, 'gamma': 'scale'}
2023-05-26 20:54:42,308 | INFO | ----------------------------------------

2023-05-26 20:54:42,511 | INFO | Selecting 125 principal component making up 85% of the variance:

2023-05-26 20:54:42,511 | INFO | -----------------------------------------------------------------------

2023-05-26 20:54:42,513 | INFO | PCA with 85% variance hyperparameter tuning and K-Fold Cross-Validation beginning:
2023-05-26 20:54:42,513 | INFO | -------------------------------------------------------------------

2023-05-26 20:54:42,513 | INFO | GridSearchCV Starting:
2023-05-26 20:54:42,514 | INFO | ----------------------

2023-05-26 20:55:54,543 | INFO | Best parameter set: {'C': 6, 'break_ties': False, 'class_weight': None, 'gamma': 'scale'}
2023-05-26 20:55:54,544 | INFO | ----------------------------------------

2023-05-26 20:55:54,771 | INFO | Selecting 166 principal component making up 90% of the variance:

2023-05-26 20:55:54,772 | INFO | -----------------------------------------------------------------------

2023-05-26 20:55:54,774 | INFO | PCA with 90% variance hyperparameter tuning and K-Fold Cross-Validation beginning:
2023-05-26 20:55:54,774 | INFO | -------------------------------------------------------------------

2023-05-26 20:55:54,775 | INFO | GridSearchCV Starting:
2023-05-26 20:55:54,775 | INFO | ----------------------

2023-05-26 20:57:16,197 | INFO | Best parameter set: {'C': 1, 'break_ties': False, 'class_weight': 'balanced', 'gamma': 'scale'}
2023-05-26 20:57:16,197 | INFO | ----------------------------------------

2023-05-26 20:57:16,513 | INFO | Selecting 231 principal component making up 95% of the variance:

2023-05-26 20:57:16,513 | INFO | -----------------------------------------------------------------------

2023-05-26 20:57:16,516 | INFO | PCA with 95% variance hyperparameter tuning and K-Fold Cross-Validation beginning:
2023-05-26 20:57:16,516 | INFO | -------------------------------------------------------------------

2023-05-26 20:57:16,517 | INFO | GridSearchCV Starting:
2023-05-26 20:57:16,517 | INFO | ----------------------

2023-05-26 20:58:59,251 | INFO | Best parameter set: {'C': 1, 'break_ties': False, 'class_weight': 'balanced', 'gamma': 'scale'}
2023-05-26 20:58:59,251 | INFO | ----------------------------------------

2023-05-26 20:58:59,639 | INFO | Selecting 572 principal component making up 100% of the variance:

